net,time
0.001885724,431
0.001889467,432
0.001892617,433
0.001896975,434
0.001901644,435
0.001904963,436
0.001908741,437
0.001913134,438
0.001917838,439
0.001923462,440
0.001926052,441
0.001929561,442
0.00193277,443
0.001937212,444
0.00194105,445
0.001945354,446
0.001948587,447
0.001952134,448
0.001955532,449
0.001960948,450
0.001964204,451
0.001967778,452
0.001972446,453
0.001976186,454
0.001979776,455
0.00198431,456
0.001988072,457
0.001991685,458
0.001996248,459
0.002000819,460
0.002003817,461
0.002006821,462
0.002009512,463
0.002013,464
0.00201586,465
0.002019997,466
0.002024935,467
0.002029085,468
0.002033882,469
0.00203965,470
0.002044466,471
0.002048649,472
0.00205139,473
0.002054134,474
0.002060275,475
0.002063998,476
0.002066915,477
0.002071461,478
0.002074552,479
0.002078462,480
0.002081397,481
0.002085971,482
0.002090555,483
0.002094325,484
0.002098596,485
0.002103204,486
0.002106832,487
0.00211063,488
0.002114763,489
0.002117909,490
0.00212189,491
0.002126378,492
0.00212921,493
0.002132714,494
0.002136391,495
0.002141411,496
0.00214493,497
0.002147615,498
0.00215148,499
0.002154845,500
0.002157541,501
0.00216277,502
0.002166655,503
0.002170717,504
0.002174783,505
0.002178008,506
0.00218209,507
0.00218601,508
0.002190788,509
0.002193864,510
0.002197629,511
0.002201229,512
0.002205008,513
0.002209139,514
0.002213969,515
0.002217251,516
0.002220883,517
0.002224347,518
0.002227815,519
0.002230594,520
0.002234942,521
0.002239124,522
0.002242614,523
0.002245059,524
0.002249258,525
0.002253288,526
0.002257326,527
0.00226137,528
0.002265774,529
0.002270183,530
0.002272657,531
0.00227655,532
0.002280093,533
0.002283465,534
0.002287909,535
0.002292183,536
0.002295927,537
0.002298782,538
0.002303069,539
0.002307006,540
0.002310591,541
0.002314901,542
0.002317958,543
0.002321019,544
0.002325165,545
0.002329317,546
0.002332753,547
0.002336013,548
0.002338552,549
0.002341638,550
0.002344362,551
0.002348726,552
0.002352003,553
0.002353462,554
0.002358395,555
0.002360041,556
0.002366275,557
0.002371051,558
0.002375467,559
0.002379894,560
0.002382665,561
0.002387107,562
0.002390073,563
0.002394346,564
0.002398253,565
0.002402538,566
0.002405898,567
0.002409824,568
0.002414319,569
0.002417884,570
0.002420515,571
0.00242296,572
0.002426161,573
0.002429933,574
0.002434087,575
0.002438252,576
0.002440148,577
0.002443184,578
0.002446224,579
0.002449268,580
0.002452506,581
0.002454985,582
0.002457658,583
0.002460526,584
0.002463782,585
0.002466465,586
0.002470878,587
0.002475687,588
0.0024807,589
0.002483403,590
0.002485531,591
0.002489017,592
0.002492894,593
0.002496387,594
0.002499692,595
0.002503975,596
0.00250807,597
0.002510805,598
0.00251511,599
0.002517853,600
0.002520992,601
0.002524728,602
0.002527093,603
0.002533812,604
0.002536584,605
0.002540945,606
0.002544319,607
0.002547499,608
0.002551479,609
0.002556065,610
0.002558461,611
0.002560859,612
0.002563061,613
0.002566667,614
0.002569474,615
0.002573088,616
0.002576305,617
0.002579527,618
0.002583561,619
0.00258902,620
0.002592461,621
0.002597327,622
0.002599966,623
0.00260566,624
0.002608513,625
0.002612189,626
0.002615667,627
0.002618329,628
0.00262284,629
0.002626946,630
0.002630441,631
0.002633323,632
0.002637655,633
0.002640548,634
0.002644064,635
0.002647169,636
0.002651941,637
0.002654227,638
0.002657973,639
0.002661726,640
0.002665904,641
0.002669459,642
0.002672601,643
0.002675537,644
0.002679529,645
0.002682477,646
0.002684586,647
0.002686487,648
0.002690715,649
0.002693255,650
0.002696436,651
0.002699197,652
0.002702602,653
0.002705799,654
0.002709643,655
0.002712635,656
0.00271606,657
0.00271949,658
0.002722711,659
0.002725076,660
0.002728738,661
0.002732192,662
0.00273673,663
0.002740627,664
0.002743012,665
0.002744749,666
0.002748228,667
0.00275106,668
0.002754553,669
0.002758049,670
0.002760454,671
0.002764177,672
0.002766151,673
0.002769226,674
0.002772746,675
0.002775831,676
0.002779803,677
0.002783117,678
0.002785551,679
0.00278821,680
0.002791761,681
0.002795096,682
0.002798214,683
0.002800889,684
0.002804461,685
0.002807142,686
0.002809156,687
0.00281319,688
0.002816109,689
0.002819032,690
0.002820833,691
0.002823762,692
0.002826471,693
0.002828958,694
0.002832127,695
0.002834846,696
0.002837339,697
0.002840288,698
0.002843693,699
0.002845966,700
0.002850291,701
0.002852798,702
0.002855765,703
0.002858279,704
0.002861254,705
0.002863085,706
0.002867898,707
0.002870423,708
0.00287341,709
0.002877093,710
0.002879398,711
0.002883322,712
0.002886094,713
0.002889332,714
0.002891184,715
0.002893271,716
0.002896752,717
0.002899076,718
0.002902797,719
0.002905591,720
0.002907689,721
0.002911891,722
0.00291493,723
0.002919143,724
0.00292266,725
0.002927356,726
0.002930882,727
0.002933236,728
0.00293583,729
0.002940553,730
0.0029441,731
0.002947418,732
0.002950739,733
0.002953826,734
0.002955729,735
0.002957158,736
0.002960735,737
0.002964317,738
0.002967426,739
0.00296982,740
0.002971497,741
0.002976057,742
