hazard,time
0.006044,1360
0.006048073,1361
0.006053682,1362
0.006055723,1363
0.006057764,1364
0.006060831,1365
0.006063902,1366
0.006065951,1367
0.006069545,1368
0.006073659,1369
0.006076231,1370
0.006080865,1371
0.006083444,1372
0.006088089,1373
0.006090674,1374
0.006093782,1375
0.006097411,1376
0.006102081,1377
0.006104678,1378
0.006106759,1379
0.006110407,1380
0.006115106,1381
0.006117197,1382
0.006120338,1383
0.006121385,1384
0.006122957,1385
0.006126106,1386
0.006129258,1387
0.00613294,1388
0.006135047,1389
0.00613874,1390
0.006141907,1391
0.006145078,1392
0.006146665,1393
0.006150373,1394
0.006151964,1395
0.006153026,1396
0.006155154,1397
0.006156218,1398
0.006160479,1399
0.006164746,1400
0.006166349,1401
0.006169557,1402
0.006171163,1403
0.006173846,1404
0.006174382,1405
0.006178141,1406
0.006181367,1407
0.006184058,1408
0.006187831,1409
0.006193769,1410
0.006195931,1411
0.006198635,1412
0.00620134,1413
0.006204593,1414
0.006207853,1415
0.006210575,1416
0.006213847,1417
0.006216577,1418
0.006220949,1419
0.00622423,1420
0.006227513,1421
0.006230801,1422
0.006232997,1423
0.006236294,1424
0.006239045,1425
0.006239596,1426
0.006241248,1427
0.00624566,1428
0.006249525,1429
0.006253947,1430
0.00625948,1431
0.006263356,1432
0.006267234,1433
0.00626945,1434
0.006272776,1435
0.006278322,1436
0.006281652,1437
0.00628443,1438
0.006289437,1439
0.006293334,1440
0.006300021,1441
0.006302811,1442
0.006305605,1443
0.006310643,1444
0.006314569,1445
0.006320747,1446
0.006321871,1447
0.006322995,1448
0.006326372,1449
0.006330315,1450
0.006333701,1451
0.006336525,1452
0.006338789,1453
0.006342186,1454
0.006345585,1455
0.006347287,1456
0.006348989,1457
0.006352399,1458
0.006356953,1459
0.006360946,1460
0.006364371,1461
0.006366657,1462
0.006368944,1463
0.006370662,1464
0.00637353,1465
0.00637468,1466
0.006380434,1467
0.006382736,1468
0.006387344,1469
0.006390805,1470
0.00639254,1471
0.006394856,1472
0.006398918,1473
0.006404151,1474
0.006407061,1475
0.006411718,1476
0.006413467,1477
0.006416389,1478
0.006421071,1479
0.006423416,1480
0.006426941,1481
0.006430467,1482
0.006432821,1483
0.006436944,1484
0.006438125,1485
0.006440489,1486
0.006441082,1487
0.006445835,1488
0.006447023,1489
0.006450592,1490
0.006452975,1491
0.006455958,1492
0.006457751,1493
0.006460145,1494
0.006464344,1495
0.006467944,1496
0.006470346,1497
0.006474554,1498
0.006478768,1499
0.006482387,1500
0.006484199,1501
0.006486622,1502
0.006489651,1503
0.006492077,1504
0.006494505,1505
0.006496328,1506
0.006500589,1507
0.00650486,1508
0.006509751,1509
0.006514032,1510
0.006518316,1511
0.006523219,1512
0.006525061,1513
0.006529365,1514
0.00653306,1515
0.006536761,1516
0.00653923,1517
0.006541082,1518
0.006542319,1519
0.006542319,1520
0.006546657,1521
0.00654976,1522
0.006553488,1523
0.006556597,1524
0.006559706,1525
0.006560951,1526
0.006565313,1527
0.006567811,1528
0.006570938,1529
0.006574072,1530
0.00657658,1531
0.00657909,1532
0.006580975,1533
0.006583496,1534
0.006586653,1535
0.006591079,1536
0.006594245,1537
0.006599947,1538
0.006602484,1539
0.006604388,1540
0.006610748,1541
0.006612659,1542
0.006615213,1543
0.006621609,1544
0.006624169,1545
0.006628011,1546
0.006630579,1547
0.006637008,1548
0.006638296,1549
0.006642808,1550
0.006644098,1551
0.006646678,1552
0.006648614,1553
0.006653139,1554
0.006653786,1555
0.006657677,1556
0.006661573,1557
0.006664177,1558
0.006667431,1559
0.006670036,1560
0.006672644,1561
0.006675258,1562
0.006675912,1563
0.006679844,1564
0.006681157,1565
0.006685097,1566
0.006687726,1567
0.00669167,1568
0.006692984,1569
0.006696931,1570
0.006700224,1571
0.006702202,1572
0.00670484,1573
0.0067088,1574
0.006710782,1575
0.006712105,1576
0.006717403,1577
0.006720056,1578
0.006722713,1579
0.006726035,1580
0.006728029,1581
0.006732024,1582
0.006735357,1583
0.006738695,1584
0.006740031,1585
0.006742039,1586
0.006744719,1587
0.006748743,1588
0.006749414,1589
0.006750086,1590
0.006752779,1591
0.006755476,1592
0.006760202,1593
0.006763581,1594
0.006764257,1595
0.006766287,1596
0.006769676,1597
0.006772391,1598
0.006775109,1599
0.006778508,1600
0.006780548,1601
0.00678395,1602
0.006788038,1603
0.006790085,1604
0.0067935,1605
0.006796235,1606
0.006798976,1607
0.006800347,1608
0.006803093,1609
0.006806528,1610
0.006811346,1611
0.006814102,1612
0.006816864,1613
0.006817556,1614
0.006818939,1615
0.0068224,1616
0.006823092,1617
0.00682656,1618
0.006828645,1619
0.006831426,1620
0.006836301,1621
0.006839089,1622
0.006840483,1623
0.006841182,1624
0.006842579,1625
0.006842579,1626
0.006848184,1627
0.006849588,1628
0.00685029,1629
0.006854504,1630
0.006856614,1631
0.006859432,1632
0.006859432,1633
0.006861554,1634
0.00686368,1635
0.006867223,1636
0.00686935,1637
0.006874322,1638
0.006877169,1639
0.006878595,1640
0.00688145,1641
0.006884311,1642
0.006886457,1643
0.006889319,1644
0.006892187,1645
0.006893624,1646
0.006895781,1647
0.006897222,1648
0.006900109,1649
0.006906606,1650
0.006910219,1651
