time,net
939,0.00456064
940,0.004563516
941,0.004564475
942,0.004566874
943,0.004568794
944,0.004574077
945,0.004576961
946,0.004580328
947,0.004582253
948,0.004585623
949,0.004588513
950,0.004593333
951,0.004596711
952,0.004599609
953,0.004602026
954,0.004604926
955,0.004607344
956,0.004609763
957,0.004613152
958,0.004615573
959,0.004618964
960,0.004619449
961,0.004621872
962,0.004623326
963,0.004626722
964,0.004632061
965,0.00463449
966,0.004635947
967,0.004638863
968,0.004640322
969,0.004643726
970,0.004646645
971,0.004649566
972,0.004652
973,0.004653948
974,0.004655409
975,0.004657844
976,0.004661742
977,0.00466418
978,0.004664668
979,0.004668571
980,0.004670523
981,0.004673941
982,0.004674918
983,0.004676873
984,0.004679318
985,0.004680785
986,0.004682252
987,0.004684698
988,0.004687145
989,0.004688613
990,0.004690572
991,0.004693512
992,0.004696454
993,0.004700868
994,0.004704302
995,0.004705775
996,0.004708721
997,0.004713144
998,0.004715111
999,0.004718553
1000,0.004721997
1001,0.004723966
1002,0.004724951
1003,0.004726921
1004,0.004729876
1005,0.004731847
1006,0.004734804
1007,0.004737269
1008,0.004740228
1009,0.004741709
1010,0.004743683
1011,0.00474467
1012,0.004746645
1013,0.004749608
1014,0.004752573
1015,0.00475455
1016,0.004756528
1017,0.004758506
1018,0.004762466
1019,0.004764446
1020,0.004767417
1021,0.004769895
1022,0.004774852
1023,0.004777331
1024,0.00477882
1025,0.004783287
1026,0.004786763
1027,0.00478875
1028,0.004790737
1029,0.004793223
1030,0.004795212
1031,0.004796705
1032,0.004798696
1033,0.004800688
1034,0.00480268
1035,0.00480567
1036,0.004808162
1037,0.004810655
1038,0.004813648
1039,0.004814646
1040,0.004818139
1041,0.004819138
1042,0.004822135
1043,0.004824134
1044,0.004828132
1045,0.004830133
1046,0.004833135
1047,0.004834136
1048,0.004836639
1049,0.004839143
1050,0.004840145
1051,0.004841648
1052,0.004843653
1053,0.004846662
1054,0.004849171
1055,0.004851681
1056,0.004852685
1057,0.00485369
1058,0.004856706
1059,0.004859221
1060,0.004863246
1061,0.00486526
1062,0.004866267
1063,0.004867779
1064,0.004869794
1065,0.004872314
1066,0.004876853
1067,0.004879376
1068,0.004880385
1069,0.0048819
1070,0.00488392
1071,0.004890489
1072,0.004891501
1073,0.004896054
1074,0.00489656
1075,0.004899597
1076,0.004902635
1077,0.00490466
1078,0.00490618
1079,0.004908207
1080,0.004912768
1081,0.004915811
1082,0.004916826
1083,0.004918856
1084,0.004921903
1085,0.004922919
1086,0.004925968
1087,0.004927494
1088,0.00492902
1089,0.004930546
1090,0.004933598
1091,0.004936652
1092,0.004940217
1093,0.004943274
1094,0.004944803
1095,0.004946842
1096,0.004949393
1097,0.004953984
1098,0.004954495
1099,0.004955516
1100,0.004957559
1101,0.004961136
1102,0.004962158
1103,0.004964715
1104,0.004965738
1105,0.00496932
1106,0.004972392
1107,0.004973928
1108,0.004975978
1109,0.00497854
1110,0.00497854
1111,0.00497854
1112,0.004980079
1113,0.004982643
1114,0.004984695
1115,0.004986748
1116,0.004989829
1117,0.004996507
1118,0.004999591
1119,0.00500062
1120,0.005003706
1121,0.00500525
1122,0.005007309
1123,0.005009884
1124,0.005011945
1125,0.005013492
1126,0.005014523
1127,0.005016586
1128,0.005019165
1129,0.005020197
1130,0.005022777
1131,0.005026908
1132,0.005032074
1133,0.005035176
1134,0.005038797
1135,0.005043456
1136,0.005046564
1137,0.005051749
1138,0.005054344
1139,0.00505642
1140,0.005059017
1141,0.005061095
1142,0.005063694
1143,0.005066293
1144,0.005068893
1145,0.005070453
1146,0.005072535
1147,0.005075138
1148,0.005077221
1149,0.005079825
1150,0.00508191
1151,0.005084517
