time,cif
856,0.004800791
857,0.004804615
858,0.004809292
859,0.004813545
860,0.00481695
861,0.004818653
862,0.004823338
863,0.004827174
864,0.004831437
865,0.00483613
866,0.004839118
867,0.004843815
868,0.004848086
869,0.004852787
870,0.004855779
871,0.0048592
872,0.004862194
873,0.004865189
874,0.004868613
875,0.004871183
876,0.00487718
877,0.00488104
878,0.004883185
879,0.004883614
880,0.004887477
881,0.004892202
882,0.004896069
883,0.004897789
884,0.004899509
885,0.004902091
886,0.004907255
887,0.004912424
888,0.004914578
889,0.004917164
890,0.004920183
891,0.004924496
892,0.004926653
893,0.00492838
894,0.004931834
895,0.004933993
896,0.004936586
897,0.004939179
898,0.004940476
899,0.004946098
900,0.004947829
901,0.004950858
902,0.00495562
903,0.004958221
904,0.004961256
905,0.004963424
906,0.004968197
907,0.004972104
908,0.00497471
909,0.004978186
910,0.004982968
911,0.004985143
912,0.004989495
913,0.004992544
914,0.004995593
915,0.0049969
916,0.005001695
917,0.005006055
918,0.005010418
919,0.0050126
920,0.005019583
921,0.005022203
922,0.005026572
923,0.005029633
924,0.005034006
925,0.005038821
926,0.005040572
927,0.005042324
928,0.005044514
929,0.005046267
930,0.005047143
931,0.005049772
932,0.00505284
933,0.005056787
934,0.005059858
935,0.005061175
936,0.00506293
937,0.00506732
938,0.005069956
939,0.005071274
940,0.005074352
941,0.005075671
942,0.00507787
943,0.00507963
944,0.00508447
945,0.005087995
946,0.005091079
947,0.005093284
948,0.005096812
949,0.005099459
950,0.005103871
951,0.005106963
952,0.005110056
953,0.005112266
954,0.005114919
955,0.005117573
956,0.005119785
957,0.005122882
958,0.005125096
959,0.005128195
960,0.005129081
961,0.005131296
962,0.005132625
963,0.005135727
964,0.005140603
965,0.00514282
966,0.005144151
967,0.005147256
968,0.005149031
969,0.005152138
970,0.005155246
971,0.00515791
972,0.005160131
973,0.005161908
974,0.005163686
975,0.005166352
976,0.005169908
977,0.005172132
978,0.005172576
979,0.005176581
980,0.005178806
981,0.005182367
982,0.005183258
983,0.00518504
984,0.005187268
985,0.00518905
986,0.005190833
987,0.005193061
988,0.005195737
989,0.005197075
990,0.005198859
991,0.005201536
992,0.005204214
993,0.005208679
994,0.005211805
995,0.005213145
996,0.005216273
997,0.005220297
998,0.005222534
999,0.005225667
1000,0.0052288
1001,0.005230591
1002,0.005231487
1003,0.005233278
1004,0.005235966
1005,0.005237758
1006,0.005240446
1007,0.005242687
1008,0.005245825
1009,0.005247171
1010,0.005249414
1011,0.00525076
1012,0.005252554
1013,0.005255247
1014,0.00525794
1015,0.005260634
1016,0.00526243
1017,0.005264227
1018,0.005267822
1019,0.00526962
1020,0.005272317
1021,0.005274565
1022,0.005279514
1023,0.005281764
1024,0.005283564
1025,0.005287617
1026,0.00529122
1027,0.005293022
1028,0.005294825
1029,0.005297079
1030,0.005298882
1031,0.005300234
1032,0.005302038
1033,0.005303843
1034,0.005305647
1035,0.005308354
1036,0.005310611
1037,0.005313319
1038,0.005316028
1039,0.005316932
1040,0.005320094
1041,0.005321449
1042,0.005324161
1043,0.005325969
1044,0.005330038
1045,0.005331847
1046,0.005334562
1047,0.00533592
1048,0.005338183
1049,0.005340447
1050,0.005341352
1051,0.005342711
1052,0.005344523
1053,0.005347242
1054,0.005349508
1055,0.005351775
1056,0.005352682
1057,0.00535359
1058,0.005356312
1059,0.005358581
1060,0.005362213
1061,0.00536403
1062,0.005364938
1063,0.005366301
1064,0.005368573
1065,0.005370846
1066,0.005374937
1067,0.005377211
1068,0.005378121
1069,0.005379486
1070,0.005381306
1071,0.005387224
1072,0.005388135
1073,0.00539269
1074,0.005393146
1075,0.00539588
1076,0.005398615
1077,0.005400894
1078,0.005402262
1079,0.005404542
1080,0.005408647
1081,0.005411385
1082,0.005412298
1083,0.005414124
1084,0.005416864
1085,0.005417778
1086,0.005420519
1087,0.005421891
1088,0.005423719
1089,0.005425091
1090,0.005427835
1091,0.00543058
1092,0.005433783
1093,0.005436529
1094,0.005437903
1095,0.005439735
1096,0.005442024
1097,0.005446147
1098,0.005446605
1099,0.005447522
1100,0.005449355
1101,0.005452564
1102,0.005453481
1103,0.005455774
1104,0.00545715
1105,0.00546082
1106,0.005463574
1107,0.005464951
1108,0.005466788
1109,0.005469084
1112,0.005470463
1113,0.00547276
1114,0.005474598
1115,0.005476436
1116,0.005479654
1117,0.005485632
1118,0.005488853
1119,0.005489773
1120,0.005492534
1121,0.005493916
1122,0.005496218
1123,0.005498522
1124,0.005500365
1125,0.005501748
1126,0.005503131
1127,0.005504976
1128,0.005507282
1129,0.005508204
1130,0.005510972
1131,0.005514664
1132,0.005519281
1133,0.005522052
1134,0.005525749
1135,0.00552991
1136,0.005532686
1137,0.005537315
1138,0.00553963
1139,0.005541947
1140,0.00554519
1141,0.005547044
1142,0.00555029
1143,0.005552608
1144,0.005554927
1145,0.005556319
1146,0.005558639
1147,0.00556096
1148,0.005562816
1149,0.005565137
1150,0.005566995
1151,0.005569317
1152,0.005572105
1153,0.005574429
1154,0.005575359
1155,0.005578148
1156,0.005579544
1157,0.005581869
1158,0.005584196
1159,0.00558699
1160,0.005590715
1161,0.005592579
1162,0.005594909
1163,0.005596773
1164,0.005597705
1165,0.00559957
1166,0.005601901
1167,0.005604232
1168,0.005605631
1169,0.005609362
1170,0.005610295
1171,0.005612628
1172,0.005615895
1173,0.005617296
1174,0.005619163
1175,0.005621032
1176,0.005623367
1177,0.005625236
1178,0.005627573
1179,0.00562991
1180,0.00563178
1181,0.005633183
1182,0.005636457
1183,0.005639263
1184,0.005640199
1185,0.005642071
1186,0.005643475
1187,0.005645816
1188,0.005647221
1189,0.005650032
1190,0.005652376
1191,0.005654251
1192,0.00565472
1193,0.005657064
1194,0.005658471
1195,0.005660816
1196,0.005664101
1197,0.005665979
1198,0.005667857
1199,0.005670206
1200,0.005672554
1201,0.005674434
1202,0.005676784
1203,0.005678665
1204,0.005679606
1205,0.005681488
1206,0.00568337
1207,0.005684782
1208,0.005686194
1209,0.005689019
1210,0.00568949
1211,0.005690432
1212,0.005692316
1213,0.0056942
1214,0.005696556
1215,0.005699384
1216,0.005702684
1217,0.005705513
1218,0.005706457
1219,0.005707872
1220,0.005708816
1221,0.00570976
1222,0.005712591
1223,0.005715424
1224,0.005717785
1225,0.00571873
1226,0.005719675
1227,0.00572062
1228,0.005722038
1229,0.005725346
1230,0.005729128
1231,0.005732438
1232,0.005733856
1234,0.005736695
1235,0.005737168
1236,0.005739061
1237,0.005741428
1238,0.005744269
1239,0.005745216
1240,0.005746164
1241,0.005747111
1242,0.005749006
1243,0.005750428
1244,0.005753271
1245,0.005756116
1246,0.005758013
1247,0.005759911
1248,0.00576181
1249,0.005762759
1250,0.005764183
1251,0.005765133
1252,0.005767032
1253,0.005767982
1254,0.005770357
1255,0.005771782
1256,0.005772733
1257,0.005775584
1258,0.005776059
1259,0.005778436
1260,0.005780814
1261,0.005783668
1262,0.005785095
1263,0.005786047
1264,0.005788426
1265,0.00579033
1266,0.005790806
1267,0.00579271
1268,0.005794615
1269,0.005795567
1270,0.005796996
1271,0.005797948
1272,0.005799378
1273,0.005802713
1274,0.005803666
1275,0.005804619
1276,0.005806526
1277,0.005807956
1278,0.00580891
1279,0.005810817
1280,0.005812248
1281,0.005814156
1282,0.005816065
1283,0.005817019
1284,0.005819883
1285,0.00582227
1286,0.005824179
1287,0.005825134
1288,0.005826567
1289,0.005829432
1290,0.005831343
1291,0.005831821
1292,0.005833732
1293,0.005836599
1294,0.005838033
1295,0.005840902
1296,0.005842337
1297,0.005845207
1298,0.005845686
1299,0.005848078
1300,0.005850949
1301,0.005851428
1302,0.005855259
1303,0.005858133
1304,0.005859571
1305,0.005862446
1306,0.005863884
1307,0.005865801
1308,0.005870116
1309,0.005871554
1310,0.005872514
1311,0.005874432
1312,0.005877311
1313,0.005879231
1314,0.005881632
1315,0.005884033
1316,0.005885955
1317,0.00588932
1318,0.005891245
1319,0.005892688
1320,0.00589365
1321,0.005894131
1322,0.005895575
1323,0.005897981
1324,0.005900388
1325,0.005901833
1326,0.005904722
1327,0.005908093
1328,0.005909057
1329,0.005910503
1330,0.005912431
1331,0.005914359
1332,0.005915324
1333,0.005917253
1334,0.005918218
1335,0.005920148
1336,0.00592063
1337,0.005921113
1339,0.005924491
1340,0.005925456
1341,0.005927387
1343,0.005929802
1344,0.005931252
1345,0.005933668
1346,0.005935601
1347,0.005937535
1348,0.005938985
1349,0.00594092
1350,0.005942371
1351,0.005944305
1352,0.00594624
1353,0.005949143
1354,0.005950595
1355,0.005952531
1356,0.005953016
1357,0.005953984
1358,0.005954953
1359,0.005956406
1360,0.00595689
1361,0.005958827
1362,0.005960765
1363,0.005962218
1364,0.005965126
1365,0.005966095
1366,0.00596658
1367,0.005968519
1368,0.005971428
1369,0.005973369
1370,0.005974824
1371,0.005976281
1372,0.005977737
1373,0.005979193
1374,0.005981621
1375,0.00598502
1376,0.005987448
1377,0.005988905
1378,0.005990363
1379,0.005992306
1380,0.005993278
1381,0.00599425
1382,0.005995222
1383,0.005998624
1384,0.005999597
1385,0.006000083
1386,0.006004947
1387,0.006005434
1388,0.006006893
1389,0.006008839
1390,0.006010785
1391,0.006013218
1392,0.006015165
1393,0.006017112
1394,0.006018573
1395,0.006020034
1396,0.006022469
1397,0.006023931
1398,0.006024906
1399,0.006026368
1400,0.006028318
1401,0.006029293
1402,0.006030268
1403,0.006031731
1404,0.006033194
1406,0.006036121
1407,0.006038561
1408,0.006039537
1409,0.00604149
1410,0.006042466
1411,0.006044907
1412,0.006046372
1413,0.006047348
1414,0.006049791
1415,0.006051257
1416,0.006053211
1417,0.006054188
1418,0.006056632
1419,0.006057121
1420,0.006058588
1421,0.00606201
1422,0.006063477
1423,0.006065434
1424,0.006066412
1425,0.006069836
1426,0.006070815
1427,0.006072283
1428,0.00607424
1429,0.006076198
1431,0.006077177
1432,0.006078646
1433,0.006079625
1434,0.006081094
1435,0.006083543
1436,0.006084523
1437,0.006085993
1438,0.006087462
1439,0.006088443
1440,0.006089913
1441,0.006092364
1442,0.006094816
1443,0.006095306
1444,0.006098249
1445,0.006099231
1446,0.006101684
1447,0.006104138
1448,0.006104629
1449,0.006105611
1450,0.006106102
1451,0.006108557
1453,0.006109539
1454,0.006112485
1455,0.006113468
1456,0.00611445
1457,0.006116906
1458,0.006117889
1459,0.006119855
1460,0.00612133
1462,0.006122804
1463,0.006125755
1464,0.006126738
1465,0.006128705
1466,0.006130181
1467,0.006132641
1468,0.006135593
1470,0.006136085
1472,0.006137069
1473,0.006139038
1474,0.006140514
1475,0.006141007
1476,0.006141992
1477,0.006142977
1478,0.006143469
1480,0.006145439
1481,0.006146917
1482,0.006148395
1483,0.006149873
1484,0.006150366
1485,0.006151844
1486,0.006152829
1487,0.0061548
1488,0.006155293
1489,0.006155786
1490,0.006157265
1491,0.006157758
1492,0.006160223
1493,0.006161702
1494,0.006162689
1495,0.006165155
1496,0.006167622
1497,0.006169596
1498,0.006172065
1499,0.006174534
1500,0.006176509
1501,0.006178979
1503,0.006179968
1504,0.00618145
1506,0.006183428
1507,0.006184416
1508,0.006184911
1509,0.006186394
1510,0.006187878
1511,0.00619134
1512,0.006193319
1513,0.006194804
1514,0.006196783
1515,0.006199259
1516,0.006200249
1517,0.006201735
1518,0.006203716
1519,0.006204706
1520,0.006206192
1521,0.006208175
1522,0.006209166
1523,0.006210653
1524,0.006212636
1525,0.006214124
1526,0.00621462
1527,0.006215611
1528,0.006216603
1529,0.006218587
1530,0.006219083
1531,0.006219579
1532,0.006220571
1533,0.006222556
1535,0.006225037
1536,0.006225533
1537,0.006226526
1538,0.006228511
1539,0.006229504
1540,0.006231986
1541,0.006233972
1542,0.006234965
1543,0.006235462
1544,0.006237448
1546,0.006238442
1547,0.006239932
1548,0.006240925
1549,0.006241422
1550,0.006243409
1551,0.006243906
1552,0.006245397
1553,0.006247386
1554,0.006247883
1555,0.006248877
1556,0.006252358
1557,0.006254844
1558,0.006257829
1559,0.006260814
1560,0.006261809
1561,0.006262307
1562,0.0062638
1563,0.006264297
1564,0.006265791
1565,0.006266786
1566,0.006267284
1567,0.006269774
1568,0.006271269
1569,0.006272265
1570,0.006274756
1571,0.006275752
1572,0.006276749
1573,0.006277247
1574,0.00627924
1575,0.006280237
1576,0.006281234
1577,0.00628273
1578,0.006283727
1579,0.006284725
1580,0.006286221
1581,0.006287717
1582,0.006288715
1583,0.00629071
1584,0.006294203
1585,0.006296199
1586,0.006297197
1587,0.006299693
1588,0.006300193
1589,0.006301191
1590,0.00630219
1591,0.006304687
1592,0.006305186
1595,0.006306185
1596,0.006306684
1597,0.006307683
1598,0.006309181
1599,0.006311179
1600,0.006312678
1601,0.006313178
1602,0.006314677
1603,0.006316176
1605,0.006316676
1606,0.006318676
1607,0.006319176
1608,0.006319675
1609,0.006320675
1611,0.006321175
1612,0.006322675
1613,0.006323676
1614,0.006324176
1615,0.006325176
1616,0.006328176
1617,0.006329177
1618,0.006331177
1619,0.006331678
1620,0.006333679
1621,0.006336181
1622,0.006337682
1623,0.006338183
1624,0.006339184
1625,0.006340687
1626,0.006341689
1627,0.006343693
1628,0.006344194
1629,0.006344696
1630,0.006345698
1631,0.006347703
1632,0.006348706
1633,0.006349709
1635,0.006351715
1636,0.006353219
1637,0.006355727
1638,0.006358235
1639,0.006360242
1640,0.006361246
1641,0.006362752
1642,0.006363756
1643,0.00636476
1644,0.006366267
1645,0.006366769
1646,0.006368276
1649,0.006369783
1650,0.006370286
1651,0.006371793
1652,0.0063733
1653,0.006375814
1654,0.006376819
1655,0.006377322
1656,0.006379333
1657,0.006379836
1658,0.006380339
1659,0.006381345
1660,0.00638386
1661,0.006384867
1662,0.00638688
1663,0.006388391
1664,0.006389398
1665,0.006390405
1666,0.006391917
1667,0.006392421
1668,0.006393932
1669,0.00639494
1670,0.006395948
1671,0.006396956
1672,0.006397964
1673,0.006399477
1674,0.006401998
1675,0.00640452
1676,0.006405529
1677,0.006408051
1678,0.00640906
1679,0.006409565
1680,0.00641007
1681,0.006411079
1683,0.006414613
1685,0.006415623
1686,0.006416633
1687,0.006418148
1688,0.006420169
1689,0.006420675
1690,0.006424212
1691,0.006425728
1692,0.006426739
1693,0.006428255
1694,0.006429772
1696,0.006431795
1697,0.006434323
1698,0.006435841
1699,0.006439383
1700,0.006440395
1702,0.006443432
1703,0.006445457
1704,0.006450014
1705,0.00645052
1708,0.006453053
1709,0.00645356
1711,0.006454573
1712,0.00645508
1713,0.006457107
